Date,sale
2007-01,2500
2007-02,1000
2007-03,1800
2007-04,2300
2007-05,2500
2007-06,3000
2007-07,2800
2007-08,2500
2007-09,3000
2007-10,2700
2007-11,2200
2007-12,1900
2008-01,2000
2008-02,1800
2008-03,2300
2008-04,2500
2008-05,2700
2008-06,2500
2008-07,2000
2008-08,1300
2008-09,1000
2008-10,800
2008-11,500
2008-12,1000
2009-01,3000
2009-02,3500
2009-03,3300
2009-04,3000
2009-05,2500
2009-06,2300
2009-07,2000
2009-08,1800
2009-09,2000
2009-10,2200
2009-11,2200
2009-12,2400
2010-01,2500
2010-02,2000
2010-03,2800
2010-04,3200
2010-05,3500
2010-06,3000
2010-07,2000
2010-08,2500
2010-09,3000
2010-10,2800
2010-11,2500
2010-12,2300
2011-01,3000
2011-02,2800
2011-03,3300
2011-04,3500
2011-05,3700
2011-06,3500
2011-07,3000
2011-08,2300
2011-09,2000
2011-10,1800
2011-11,1500
2011-12,2000
2012-01,2000
2012-02,1500
2012-03,2300
2012-04,3000
2012-05,3500
2012-06,3300
2012-07,3000
2012-08,2500
2012-09,2300
2012-10,2000
2012-11,1800
2012-12,2000
2013-01,2500
2013-02,2300
2013-03,2900
2013-04,3800
2013-05,4500
2013-06,4300
2013-07,4000
2013-08,3000
2013-09,2800
2013-10,2500
2013-11,2300
2013-12,2800
2014-01,2500
2014-02,2000
2014-03,2700
2014-04,3000
2014-05,3500
2014-06,3300
2014-07,3000
2014-08,2800
2014-09,2500
2014-10,2750
2014-11,2800
2014-12,3000
2015-01,3000
2015-02,2800
2015-03,3200
2015-04,3500
2015-05,5000
2015-06,5500
2015-07,4700
2015-08,4300
2015-09,4000
2015-10,3700
2015-11,3000
2015-12,3200
2016-01,2800
2016-02,2000
2016-03,1500
2016-04,2800
2016-05,3500
2016-06,3400
2016-07,3000
2016-08,2000
2016-09,1800
2016-10,1900
2016-11,2200
2016-12,2500
2017-01,2800
2017-02,1500
2017-03,3000
2017-04,3500
2017-05,5000
2017-06,4700
2017-07,4000
2017-08,2500
2017-09,2300
2017-10,2000
2017-11,2200
2017-12,3500
2018-01,3500
2018-02,2700
2018-03,3800
2018-04,4500
2018-05,6000
2018-06,5700
2018-07,5000
2018-08,3500
2018-09,3500
2018-10,3000
2018-11,3350
2018-12,4200
2019-01,4300
2019-02,2800
2019-03,2900
2019-04,3500
2019-05,5000
2019-06,4900
2019-07,3000
2019-08,2500
2019-09,2400
2019-10,2500
2019-11,2300
2019-12,2700
2020-01,2800
2020-02,3000
2020-03,6000
2020-04,8000
2020-05,7500
2020-06,7500
2020-07,6000
2020-08,5500
2020-09,7000
2020-10,7500
2020-11,6000
2020-12,6300
2021-01,5000
2021-02,4500
2021-03,5000
2021-04,12500
2021-05,15000
